Langue,Pays,Alphabet,Locuteurs_n,Locuteurs_s,Famille,Propriété,Organisations,ISO_639-3,Pays_origine,Langue_origine
Breton,France,Latin,207000.0,,Celtique,Flexionnelle,A_accent_d'intensité,bre,France,Proto-celtique
Celtibère,Espagne,Greco-Ibère,,,Celtique,,,xce,Espagne,Proto-celtique
Cornique,Royaume-Uni,,557.0,,Celtique,Flexionnelle,"A_accent_d'intensité,Flexionnelle,accusative",cor,Royaume-Uni,
Galate,,,,,Celtique_continental,,,xga,,
Gallaïque,,,,,,,,,,
Gallois,"Royaume-Uni,Argentine",Gallois_alphabet,650000.0,,Celtique,"A_accent_d'intensité,Flexionnelle,accusative",,cym,Royaume-Uni,
Gaulois,,"Gaulois_Alphabet,Latin,Grec,Gallo-étrusque",,,Celtique,Flexionnelle,,"xtg,xcg,xga,xlp",,Proto-celtique
Gaélique,"Irlande,Île_de_Man,Écosse",,,,,,,,,
Gaélique_Écossais,"Royaume-Uni,Canada,Etats-Unis,Australie",Gaélique,60130.0,,Celtique,"Flexionnelle,accusative,accentuelle",Écosse,gla,,
Irlandais,"Irlande,Royaume-Uni",Gaélique,1750000.0,,Celtique,"Accentuelle,A_accent_d'intensité",UE,gle,Irlande,
Mannois,Île_de_Man,Anglais,50.0,1823.0,Gaélique,"Flexionnelle,accusative,accentuelle",,glv,,
Shelta,"Irlande,Royaume-Uni,Etats-Unis",86000,,,Celtique,VSO,,sth,,"Gaélique_irlandais,anglais"
